Zip Code,Census Geo ID,Zip Payroll,Zip Business Count,Zip Employee Count,Census Year
44017,8600000US44017,300812,506,9159,2000
44040,8600000US44040,21000,85,930,2000
44070,8600000US44070,444644,1132,17578,2000
44101,8600000US44101,39988,79,1201,2000
44102,8600000US44102,354759,765,11725,2000
44103,8600000US44103,384662,654,12158,2000
44104,8600000US44104,145384,300,4836,2000
44105,8600000US44105,479213,627,12493,2000
44106,8600000US44106,1542447,574,37413,2000
44107,8600000US44107,378950,1082,15595,2000
44108,8600000US44108,63124,206,2465,2000
44109,8600000US44109,482799,728,16166,2000
44110,8600000US44110,201976,366,6159,2000
44111,8600000US44111,472061,838,15971,2000
44112,8600000US44112,310361,340,8122,2000
44113,8600000US44113,881765,1498,26434,2000
44114,8600000US44114,2896348,1774,56200,2000
44115,8600000US44115,1649024,1150,38988,2000
44116,8600000US44116,241323,927,9233,2000
44117,8600000US44117,365943,291,9165,2000
44118,8600000US44118,206304,875,9440,2000
44119,8600000US44119,118232,317,4464,2000
44120,8600000US44120,94125,474,4616,2000
44121,8600000US44121,153707,645,6266,2000
44122,8600000US44122,1308257,2281,38897,2000
44123,8600000US44123,42717,229,2239,2000
44124,8600000US44124,1041648,1402,27973,2000
44125,8600000US44125,882131,924,36482,2000
44126,8600000US44126,75310,417,3905,2000
44127,8600000US44127,392822,204,7918,2000
44128,8600000US44128,496075,915,15692,2000
44129,8600000US44129,257254,819,12723,2000
44130,8600000US44130,1209944,1598,36990,2000
44131,8600000US44131,1239037,1371,28808,2000
44132,8600000US44132,152934,371,5241,2000
44133,8600000US44133,225139,795,7974,2000
44134,8600000US44134,159521,625,8155,2000
44135,8600000US44135,729571,634,23176,2000
44136,8600000US44136,519155,945,17591,2000
44137,8600000US44137,127514,468,6519,2000
44138,8600000US44138,52845,254,2266,2000
44139,8600000US44139,1139708,1152,28373,2000
44140,8600000US44140,40829,273,1784,2000
44142,8600000US44142,782416,482,15662,2000
44143,8600000US44143,879667,924,23518,2000
44144,8600000US44144,419152,337,14392,2000
44145,8600000US44145,766307,1408,23477,2000
44146,8600000US44146,943227,1144,25559,2000
44147,8600000US44147,159270,469,4853,2000
44181,8600000US44181,8236,17,436,2000
44190,8600000US44190,0,1,0,2000
44194,8600000US44194,0,1,0,2000
44195,8600000US44195,4963,17,210,2000
44199,8600000US44199,2663,14,79,2000
44017,8600000US44017,306854,502,8855,2001
44040,8600000US44040,22018,78,906,2001
44070,8600000US44070,443461,1097,17423,2001
44101,8600000US44101,34216,91,2027,2001
44102,8600000US44102,342567,745,11544,2001
44103,8600000US44103,330426,638,11478,2001
44104,8600000US44104,131846,288,4172,2001
44105,8600000US44105,508839,618,13175,2001
44106,8600000US44106,1619170,527,38152,2001
44107,8600000US44107,540796,1085,17893,2001
44108,8600000US44108,60765,213,2594,2001
44109,8600000US44109,436522,727,15747,2001
44110,8600000US44110,240584,361,6762,2001
44111,8600000US44111,483248,838,15851,2001
44112,8600000US44112,304495,333,8172,2001
44113,8600000US44113,1004090,1506,29748,2001
44114,8600000US44114,2936850,1712,53313,2001
44115,8600000US44115,1702838,1118,39579,2001
44116,8600000US44116,244647,922,9105,2001
44117,8600000US44117,341773,279,8406,2001
44118,8600000US44118,228698,861,10040,2001
44119,8600000US44119,123932,311,4504,2001
44120,8600000US44120,93120,471,4589,2001
44121,8600000US44121,160634,640,6344,2001
44122,8600000US44122,1482646,2281,41326,2001
44123,8600000US44123,57327,221,2351,2001
44124,8600000US44124,976894,1397,25569,2001
44125,8600000US44125,880981,908,34855,2001
44126,8600000US44126,77073,424,3844,2001
44127,8600000US44127,294640,204,7304,2001
44128,8600000US44128,496184,913,14471,2001
44129,8600000US44129,261739,811,12217,2001
44130,8600000US44130,1203139,1590,37038,2001
44131,8600000US44131,1242775,1364,28229,2001
44132,8600000US44132,112785,349,4364,2001
44133,8600000US44133,210844,776,7751,2001
44134,8600000US44134,157591,637,7769,2001
44135,8600000US44135,712689,630,23392,2001
44136,8600000US44136,505334,941,16714,2001
44137,8600000US44137,121521,454,6023,2001
44138,8600000US44138,53293,250,2345,2001
44139,8600000US44139,1179695,1157,29721,2001
44140,8600000US44140,41950,275,1796,2001
44142,8600000US44142,727357,471,14342,2001
44143,8600000US44143,935525,927,23042,2001
44144,8600000US44144,419616,348,14446,2001
44145,8600000US44145,736718,1435,21841,2001
44146,8600000US44146,938355,1134,25169,2001
44147,8600000US44147,162275,459,4795,2001
44181,8600000US44181,5530,19,202,2001
44190,8600000US44190,0,1,0,2001
44194,8600000US44194,0,1,0,2001
44195,8600000US44195,5735,7,375,2001
