Year ,zip,naics,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
2002,44115,115114,1,0,0,0,0,1,0,0,0,0
2002,44115,115116,1,0,0,1,0,0,0,0,0,0
2002,44114,212312,1,0,0,0,0,0,0,0,1,0
2002,44113,212393,1,0,0,0,0,0,1,0,0,0
2002,44114,221122,2,0,0,1,0,1,0,0,0,0
2002,44115,221310,1,1,0,0,0,0,0,0,0,0
2002,44114,221330,2,1,0,0,1,0,0,0,0,0
2002,44113,233110,1,0,0,0,1,0,0,0,0,0
2002,44114,233110,1,1,0,0,0,0,0,0,0,0
2002,44115,233110,1,1,0,0,0,0,0,0,0,0
2002,44113,233210,8,6,1,0,1,0,0,0,0,0
2002,44114,233210,5,4,0,0,0,1,0,0,0,0
2002,44115,233210,1,0,0,1,0,0,0,0,0,0
2002,44113,233220,2,2,0,0,0,0,0,0,0,0
2002,44113,233320,10,0,3,2,3,2,0,0,0,0
2002,44114,233320,3,0,0,0,2,0,1,0,0,0
2002,44115,233320,6,2,1,0,2,0,0,1,0,0
2002,44113,234110,1,0,0,0,1,0,0,0,0,0
2002,44113,234910,1,0,1,0,0,0,0,0,0,0
2002,44115,234920,1,0,1,0,0,0,0,0,0,0
2002,44113,234930,1,0,0,1,0,0,0,0,0,0
2002,44114,234930,1,1,0,0,0,0,0,0,0,0
2002,44113,234990,1,0,0,0,0,0,0,0,0,1
2002,44113,235110,2,2,0,0,0,0,0,0,0,0
2002,44114,235110,9,3,2,3,1,0,0,0,0,0
2002,44115,235110,1,1,0,0,0,0,0,0,0,0
2002,44113,235210,5,0,1,3,1,0,0,0,0,0
2002,44114,235210,2,0,0,1,0,1,0,0,0,0
2002,44114,235310,5,1,0,0,1,2,1,0,0,0
2002,44115,235310,1,1,0,0,0,0,0,0,0,0
2002,44113,235410,2,0,0,0,1,1,0,0,0,0
2002,44113,235420,1,1,0,0,0,0,0,0,0,0
2002,44114,235420,1,0,1,0,0,0,0,0,0,0
2002,44113,235510,1,1,0,0,0,0,0,0,0,0
2002,44113,235520,1,0,0,1,0,0,0,0,0,0
2002,44114,235520,1,0,1,0,0,0,0,0,0,0
2002,44115,235520,1,0,0,1,0,0,0,0,0,0
2002,44113,235610,1,1,0,0,0,0,0,0,0,0
2002,44114,235610,1,1,0,0,0,0,0,0,0,0
2002,44113,235710,2,2,0,0,0,0,0,0,0,0
2002,44114,235710,1,0,0,1,0,0,0,0,0,0
2002,44114,235910,2,1,0,0,0,0,1,0,0,0
2002,44115,235920,1,0,1,0,0,0,0,0,0,0
2002,44113,235930,1,0,1,0,0,0,0,0,0,0
2002,44113,235940,1,1,0,0,0,0,0,0,0,0
2002,44114,235950,3,1,0,1,1,0,0,0,0,0
2002,44115,235950,1,0,1,0,0,0,0,0,0,0
2002,44113,235990,1,0,0,1,0,0,0,0,0,0
2002,44114,235990,4,1,1,2,0,0,0,0,0,0
2002,44113,311211,1,0,0,0,1,0,0,0,0,0
2002,44114,311412,1,1,0,0,0,0,0,0,0,0
2002,44113,311612,1,0,0,0,1,0,0,0,0,0
